polarity	aspect	term	term_pos	sentence	input
positive	FOOD#QUALITY	$10 10-piece dim sum combo	10:36	I got the $10 10-piece dim sum combo, every bite of which was great.	$10 10-piece dim sum combo 10:36 FOOD#QUALITY
positive	FOOD#QUALITY	Dog	6:9	Tasty Dog!	Dog 6:9 FOOD#QUALITY
positive	SERVICE#GENERAL	Service	0:7	Service was also very good.	Service 0:7 SERVICE#GENERAL
positive	DRINKS#QUALITY	iced tea	9:17	Have the iced tea.	iced tea 9:17 DRINKS#QUALITY
positive	SERVICE#GENERAL	service	45:52	Not only is the cuisine the best around, the service has always been attentive and charming.	service 45:52 SERVICE#GENERAL
positive	RESTAURANT#GENERAL	Bukhara	0:7	Bukhara is on my top 5 Indian places in NYC	Bukhara 0:7 RESTAURANT#GENERAL
positive	RESTAURANT#GENERAL	place	29:34	You can't go wrong with this place.	place 29:34 RESTAURANT#GENERAL
positive	FOOD#QUALITY	crab salad	54:64	I did not try the caviar but I tried their salmon and crab salad (they are all good)  	crab salad 54:64 FOOD#QUALITY
positive	AMBIENCE#GENERAL	place	123:128	Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.	place 123:128 AMBIENCE#GENERAL
neutral	FOOD#QUALITY	Vanison	0:7	Vanison was good but not amazing.	Vanison 0:7 FOOD#QUALITY
positive	SERVICE#GENERAL	waiters	19:26	The only thing the waiters don't do for you is wipe your chin when you leave.	waiters 19:26 SERVICE#GENERAL
positive	SERVICE#GENERAL	staff	57:62	This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.	staff 57:62 SERVICE#GENERAL
negative	FOOD#QUALITY	Dessert	0:7	Dessert is a joke...dont bother	Dessert 0:7 FOOD#QUALITY
positive	SERVICE#GENERAL	service	30:37	Have never had a problem with service save a missing rice once.	service 30:37 SERVICE#GENERAL
negative	FOOD#QUALITY	fish	41:45	If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.	fish 41:45 FOOD#QUALITY
positive	SERVICE#GENERAL	service	78:85	Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.	service 78:85 SERVICE#GENERAL
negative	FOOD#QUALITY	roast pork buns	34:49	A few tips: skip the turnip cake, roast pork buns and egg custards.	roast pork buns 34:49 FOOD#QUALITY
negative	FOOD#QUALITY	chef	44:48	During the course of the past 3 months, the chef and staff changed and it was not for the better.	chef 44:48 FOOD#QUALITY
positive	FOOD#PRICES	food	27:31	$6 and there is much tasty food, all of it fresh and continually refilled.	food 27:31 FOOD#PRICES
positive	AMBIENCE#GENERAL	design	4:10	The design and atmosphere is just as good.	design 4:10 AMBIENCE#GENERAL
negative	SERVICE#GENERAL	service	8:15	but the service was a bit slow.	service 8:15 SERVICE#GENERAL
positive	FOOD#QUALITY	food	9:13	Fabulous food - if the front of house staff don't put you off – 	food 9:13 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	12:17	This little place definitely exceeded my expectations and you sure get a lot of food for your money.	place 12:17 RESTAURANT#GENERAL
negative	SERVICE#GENERAL	delivery guys	31:44	Never have I had such dramatic delivery guys (a lot of huffing and panting and muttering under breath b/c I live in a walkup) who always seem disappointed with their tips.	delivery guys 31:44 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	BBE $29 fixe prix menu	17:39	My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!	BBE $29 fixe prix menu 17:39 FOOD#STYLE_OPTIONS
positive	DRINKS#QUALITY	strawberry daiquiries	10:31	Wonderful strawberry daiquiries as well!	strawberry daiquiries 10:31 DRINKS#QUALITY
negative	FOOD#QUALITY	pork shu mai	18:30	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	pork shu mai 18:30 FOOD#QUALITY
negative	SERVICE#GENERAL	waitress	35:43	When we inquired about ports - the waitress listed off several but did not know taste variations or cost.	waitress 35:43 SERVICE#GENERAL
positive	FOOD#QUALITY	Shabu-Shabu	37:48	Thius is a must for anyone who loves Shabu-Shabu.	Shabu-Shabu 37:48 FOOD#QUALITY
positive	FOOD#QUALITY	mussels	4:11	The mussels were fantastic and so was the dessert...definitely going to be back very soon.	mussels 4:11 FOOD#QUALITY
positive	FOOD#PRICES	Prix Fixe menu	4:18	The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).	Prix Fixe menu 4:18 FOOD#PRICES
positive	FOOD#QUALITY	food	4:8	The food is flavorful, plentiful and reasonably priced.	food 4:8 FOOD#QUALITY
neutral	AMBIENCE#GENERAL	restaurant	4:14	The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal	restaurant 4:14 AMBIENCE#GENERAL
neutral	LOCATION#GENERAL	place	4:9	The place is a bit hidden away, but once you get there, it's all worth it.	place 4:9 LOCATION#GENERAL
positive	SERVICE#GENERAL	service	80:87	The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.	service 80:87 SERVICE#GENERAL
negative	SERVICE#GENERAL	Service	0:7	Service was just ok, it is not what you'd expect for $500.	Service 0:7 SERVICE#GENERAL
positive	FOOD#QUALITY	pizza	17:22	Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!	pizza 17:22 FOOD#QUALITY
positive	FOOD#QUALITY	food	8:12	Amazing food.	food 8:12 FOOD#QUALITY
positive	DRINKS#QUALITY	beer	50:54	A cool bar with great food, and tons of excellent beer.	beer 50:54 DRINKS#QUALITY
positive	FOOD#PRICES	food	4:8	The food was very good, a great deal, and the place its self was great.	food 4:8 FOOD#PRICES
positive	FOOD#PRICES	salad	62:67	The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.	salad 62:67 FOOD#PRICES
positive	FOOD#QUALITY	quacamole	0:9	quacamole at pacifico is yummy, as are the wings with chimmichuri.	quacamole 0:9 FOOD#QUALITY
positive	AMBIENCE#GENERAL	white organza tent	18:36	I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot.	white organza tent 18:36 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	atmosphere	5:15	Nice atmosphere, the service was very pleasant and the desert was good.	atmosphere 5:15 AMBIENCE#GENERAL
positive	LOCATION#GENERAL	restaurant	4:14	The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.	restaurant 4:14 LOCATION#GENERAL
positive	DRINKS#QUALITY	drinks	4:10	The drinks are always welll made and wine selection is fairly priced.	drinks 4:10 DRINKS#QUALITY
positive	FOOD#STYLE_OPTIONS	fried shrimp	16:28	My wife had the fried shrimp which are huge and loved it.	fried shrimp 16:28 FOOD#STYLE_OPTIONS
negative	FOOD#PRICES	dinner for two	15:29	But $500 for a dinner for two that didn't include Wine?	dinner for two 15:29 FOOD#PRICES
positive	FOOD#QUALITY	grilled octopus	77:92	I'll being with a couple of positives: cool decor, good pita and hummus, and grilled octopus that was actually pretty tasty.	grilled octopus 77:92 FOOD#QUALITY
negative	RESTAURANT#GENERAL	Teodora	143:150	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	Teodora 143:150 RESTAURANT#GENERAL
negative	SERVICE#GENERAL	server	12:18	A different server enhanced the fun, dumping our entrees in front of us halfway through our appetizer (which was delicious).	server 12:18 SERVICE#GENERAL
negative	FOOD#QUALITY	grilled branzino	24:40	We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.	grilled branzino 24:40 FOOD#QUALITY
neutral	FOOD#STYLE_OPTIONS	Indian food	13:24	"Very ""normal Indian food"", but done really well."	Indian food 13:24 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	sea urchin	42:52	I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.	sea urchin 42:52 FOOD#QUALITY
positive	RESTAURANT#MISCELLANEOUS	Water's Edge	35:47	My daughter's wedding reception at Water's Edge received the highest compliments from our guests.	Water's Edge 35:47 RESTAURANT#MISCELLANEOUS
negative	FOOD#QUALITY	food	4:8	The food here was mediocre at best. 	food 4:8 FOOD#QUALITY
positive	AMBIENCE#GENERAL	looks	13:18	Over all the looks of the place exceeds the actual meals.	looks 13:18 AMBIENCE#GENERAL
positive	FOOD#QUALITY	pizza	6:11	Great pizza and fantastic service.	pizza 6:11 FOOD#QUALITY
positive	FOOD#QUALITY	food	68:72	Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!	food 68:72 FOOD#QUALITY
negative	FOOD#QUALITY	dessert	32:39	The entree was bland and small, dessert was not inspired.	dessert 32:39 FOOD#QUALITY
negative	FOOD#QUALITY	food	25:29	If you are going for the food, it will not be worth it.	food 25:29 FOOD#QUALITY
positive	SERVICE#GENERAL	service	26:33	Great pizza and fantastic service.	service 26:33 SERVICE#GENERAL
negative	RESTAURANT#PRICES	place	166:171	I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.	place 166:171 RESTAURANT#PRICES
negative	FOOD#QUALITY	food	6:10	Gross food – Wow-	food 6:10 FOOD#QUALITY
positive	FOOD#QUALITY	food	4:8	The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.	food 4:8 FOOD#QUALITY
negative	FOOD#QUALITY	raddichio	76:85	Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).	raddichio 76:85 FOOD#QUALITY
positive	FOOD#QUALITY	food	21:25	sometimes i get good food and ok service.	food 21:25 FOOD#QUALITY
negative	AMBIENCE#GENERAL	tables	4:10	The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.	tables 4:10 AMBIENCE#GENERAL
negative	RESTAURANT#PRICES	The Four Seasons	21:37	"Not because you are ""The Four Seasons""... – you are allowed to charge an arm and a leg for a romatic dinner."	The Four Seasons 21:37 RESTAURANT#PRICES
positive	DRINKS#QUALITY	premium sake	43:55	The blond wood decor is very soothing, the premium sake is excellent and the service is great.	premium sake 43:55 DRINKS#QUALITY
positive	FOOD#QUALITY	Margheritta slice	28:45	Awsome Pizza especially the Margheritta slice.	Margheritta slice 28:45 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	85:90	amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!	place 85:90 RESTAURANT#GENERAL
positive	FOOD#QUALITY	sushi	19:24	The first time the sushi was outstanding, the second time it was a little bland.	sushi 19:24 FOOD#QUALITY
positive	FOOD#STYLE_OPTIONS	paninis	36:43	The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.	paninis 36:43 FOOD#STYLE_OPTIONS
positive	RESTAURANT#GENERAL	place	38:43	I've lived in NY for 5 years and this place has it all.	place 38:43 RESTAURANT#GENERAL
negative	FOOD#QUALITY	chef	98:102	Wasn't going to share but I feel obligated...while sitting at the sushi bar dining we watched the chef accidentally drop a piece of Unagi on the floor and upon retrieving it from the floor proceed to use the piece in the delivery order he was preparing.	chef 98:102 FOOD#QUALITY
positive	FOOD#QUALITY	food	4:8	The food was delicious but do not come here on a empty stomach.	food 4:8 FOOD#QUALITY
neutral	RESTAURANT#PRICES	location	59:67	Not what I would expect for the price and prestige of this location.	location 59:67 RESTAURANT#PRICES
negative	SERVICE#GENERAL	staff	74:79	I wish I could like this place more, and I wish someone would retrain the staff.	staff 74:79 SERVICE#GENERAL
positive	FOOD#QUALITY	food	47:51	Have frequented 'ino for several years and the food remains excellent.	food 47:51 FOOD#QUALITY
positive	FOOD#QUALITY	Thai style Fried Sea Bass	10:35	I had the Thai style Fried Sea Bass...which was very good. 	Thai style Fried Sea Bass 10:35 FOOD#QUALITY
positive	FOOD#QUALITY	fried shrimp	16:28	My wife had the fried shrimp which are huge and loved it.	fried shrimp 16:28 FOOD#QUALITY
positive	FOOD#PRICES	prixe fixe tasting menu	32:55	The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.	prixe fixe tasting menu 32:55 FOOD#PRICES
positive	FOOD#QUALITY	Guacamole+shrimp appetizer	0:26	Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.	Guacamole+shrimp appetizer 0:26 FOOD#QUALITY
neutral	FOOD#QUALITY	dim sum	82:89	My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.	dim sum 82:89 FOOD#QUALITY
positive	FOOD#QUALITY	sausages	139:147	What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.	sausages 139:147 FOOD#QUALITY
positive	SERVICE#GENERAL	waitstaff	82:91	Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.	waitstaff 82:91 SERVICE#GENERAL
negative	RESTAURANT#GENERAL	place	29:34	I would never recommend this place to anybody even for a casual dinner.	place 29:34 RESTAURANT#GENERAL
positive	FOOD#QUALITY	drunken chicken	28:43	I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.	drunken chicken 28:43 FOOD#QUALITY
neutral	FOOD#QUALITY	scallion pancakes	4:21	The scallion pancakes and fried dumplings were nothing out of the ordinary.	scallion pancakes 4:21 FOOD#QUALITY
neutral	FOOD#STYLE_OPTIONS	cheeseburgers	38:51	My son and his girlfriend both wanted cheeseburgers and they were huge!	cheeseburgers 38:51 FOOD#STYLE_OPTIONS
positive	RESTAURANT#GENERAL	brasserie	191:200	Maybe it was the great company (I had friends visiting from Philly – yes, it was not a date this time) or the super reasonable price point, but I just can’t say enough good things about this brasserie.	brasserie 191:200 RESTAURANT#GENERAL
positive	RESTAURANT#GENERAL	place	6:11	Great place, great value.	place 6:11 RESTAURANT#GENERAL
neutral	FOOD#STYLE_OPTIONS	menu	42:46	The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.	menu 42:46 FOOD#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	atmosphere	25:35	Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!	atmosphere 25:35 AMBIENCE#GENERAL
positive	FOOD#STYLE_OPTIONS	French Onion soup	43:60	The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.	French Onion soup 43:60 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	sushi	6:11	Great sushi experience.	sushi 6:11 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Restaurant Saul	50:65	Every time in New York I make it a point to visit Restaurant Saul on Smith Street.	Restaurant Saul 50:65 RESTAURANT#GENERAL
positive	SERVICE#GENERAL	Manager	29:36	We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.	Manager 29:36 SERVICE#GENERAL
negative	FOOD#STYLE_OPTIONS	menu	4:8	The menu is limited but almost all of the dishes are excellent.	menu 4:8 FOOD#STYLE_OPTIONS
negative	FOOD#QUALITY	meals	43:48	Everything was going good until we got our meals.	meals 43:48 FOOD#QUALITY
neutral	SERVICE#GENERAL	Service	0:7	Service is not exactly five star, but thats not really a big deal.	Service 0:7 SERVICE#GENERAL
positive	FOOD#QUALITY	fried oysters and clams	60:83	The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion (maybe 3 of each). 	fried oysters and clams 60:83 FOOD#QUALITY
positive	RESTAURANT#GENERAL	YUKA	5:9	Love YUKA.	YUKA 5:9 RESTAURANT#GENERAL
positive	RESTAURANT#GENERAL	place	166:171	I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.	place 166:171 RESTAURANT#GENERAL
neutral	FOOD#QUALITY	bibimbap	4:12	The bibimbap was average, but the stone bowl wasn't even close to sizzling.	bibimbap 4:12 FOOD#QUALITY
negative	FOOD#STYLE_OPTIONS	dosas	4:9	The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	dosas 4:9 FOOD#STYLE_OPTIONS
positive	RESTAURANT#GENERAL	pizzeria	27:35	I stumbled upon this great pizzeria as I explored my new neighborhood.	pizzeria 27:35 RESTAURANT#GENERAL
positive	RESTAURANT#GENERAL	Pizza 33	5:13	Love Pizza 33..	Pizza 33 5:13 RESTAURANT#GENERAL
positive	FOOD#STYLE_OPTIONS	bagels	4:10	The bagels always warm, soft on the inside, crispy on the outside and enormous in size.	bagels 4:10 FOOD#STYLE_OPTIONS
negative	FOOD#QUALITY	sushi	47:52	Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.	sushi 47:52 FOOD#QUALITY
positive	AMBIENCE#GENERAL	setting	75:82	I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.	setting 75:82 AMBIENCE#GENERAL
positive	DRINKS#STYLE_OPTIONS	wine list	4:13	The wine list is interesting and has many good values.	wine list 4:13 DRINKS#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	decor	4:9	The decor is very simple but comfortable.	decor 4:9 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	spot	23:27	But nonetheless--great spot, great food.	spot 23:27 RESTAURANT#GENERAL
negative	FOOD#QUALITY	sauces	28:34	The food was not fresh, the sauces were bland and very oily.	sauces 28:34 FOOD#QUALITY
negative	FOOD#QUALITY	salmon	29:35	I took one bite from the $24 salmon, and I have never, in the 17 years I have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in Flatbush Farms.	salmon 29:35 FOOD#QUALITY
neutral	AMBIENCE#GENERAL	restaurant	44:54	So what you really end up paying for is the restaurant not the food.	restaurant 44:54 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	spot	24:28	It is definitely a good spot for snacks and chat.	spot 24:28 RESTAURANT#GENERAL
positive	AMBIENCE#GENERAL	backyard dining area	91:111	THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.	backyard dining area 91:111 AMBIENCE#GENERAL
positive	FOOD#QUALITY	Dancing, White River and Millenium rolls	4:44	The Dancing, White River and Millenium rolls are musts.	Dancing, White River and Millenium rolls 4:44 FOOD#QUALITY
positive	FOOD#QUALITY	Pizza	4:9	THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.	Pizza 4:9 FOOD#QUALITY
positive	FOOD#QUALITY	food	43:47	Everyone seemed generally happy with their food, except my brother who had the grilled Mahi Mahi, seemingly drenched in Grapfruit Juice! 	food 43:47 FOOD#QUALITY
positive	DRINKS#STYLE_OPTIONS	selecion of wines	39:56	The food is great and they have a good selecion of wines at reasonable prices.	selecion of wines 39:56 DRINKS#STYLE_OPTIONS
positive	FOOD#QUALITY	BBQ ribs	38:46	This place has the best Chinese style BBQ ribs in the city.	BBQ ribs 38:46 FOOD#QUALITY
negative	FOOD#QUALITY	rice	17:21	Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.	rice 17:21 FOOD#QUALITY
positive	SERVICE#GENERAL	service	32:39	The food is outstanding and the service is quick, friendly and very professional.	service 32:39 SERVICE#GENERAL
positive	FOOD#QUALITY	spices	9:15	Delicate spices, onions, eggs and a kick-ass roti.	spices 9:15 FOOD#QUALITY
negative	SERVICE#GENERAL	service	21:28	Decor is nice though service can be spotty.	service 21:28 SERVICE#GENERAL
positive	FOOD#QUALITY	food	5:9	Good food: my favorite is the seafood spaghetti.	food 5:9 FOOD#QUALITY
positive	AMBIENCE#GENERAL	decor	30:35	The service is excellent, the decor is great, and the food is delicious and comes in large portions.	decor 30:35 AMBIENCE#GENERAL
positive	FOOD#QUALITY	fish	63:67	Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.	fish 63:67 FOOD#QUALITY
positive	FOOD#QUALITY	food	4:8	The food's as good as ever.	food 4:8 FOOD#QUALITY
positive	FOOD#QUALITY	eggplant pizza	15:29	I LOOOVE their eggplant pizza, as well as their pastas!	eggplant pizza 15:29 FOOD#QUALITY
positive	FOOD#QUALITY	food	61:65	The vibe is very relaxed and cozy, service was great and the food was excellent!	food 61:65 FOOD#QUALITY
positive	FOOD#QUALITY	food	4:8	The food was very good, a great deal, and the place its self was great.	food 4:8 FOOD#QUALITY
positive	SERVICE#GENERAL	server	83:89	Sometimes tables don't understand his sense of humor but it's refreshing to have a server who has personality, professionalism, and respects the privacy of your dinner.	server 83:89 SERVICE#GENERAL
negative	FOOD#QUALITY	dosas	4:9	The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	dosas 4:9 FOOD#QUALITY
positive	FOOD#QUALITY	food	57:61	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	food 57:61 FOOD#QUALITY
positive	SERVICE#GENERAL	wait staff	16:26	Kind, attentive wait staff.	wait staff 16:26 SERVICE#GENERAL
neutral	RESTAURANT#MISCELLANEOUS	place	5:10	This place is always packed.	place 5:10 RESTAURANT#MISCELLANEOUS
positive	FOOD#QUALITY	food	27:31	$6 and there is much tasty food, all of it fresh and continually refilled.	food 27:31 FOOD#QUALITY
positive	FOOD#QUALITY	Food	5:9	Good Food	Food 5:9 FOOD#QUALITY
positive	FOOD#QUALITY	braised lamb shank in red wine	44:74	I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.	braised lamb shank in red wine 44:74 FOOD#QUALITY
positive	SERVICE#GENERAL	staff	89:94	My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.	staff 89:94 SERVICE#GENERAL
positive	FOOD#QUALITY	ingredients	182:193	What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.	ingredients 182:193 FOOD#QUALITY
negative	FOOD#PRICES	fish and chips	27:41	It was totally overpriced- fish and chips was about $15.... 	fish and chips 27:41 FOOD#PRICES
positive	DRINKS#QUALITY	Change Mojito	19:32	I also ordered the Change Mojito, which was out of this world.	Change Mojito 19:32 DRINKS#QUALITY
negative	FOOD#QUALITY	mussles	4:11	The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.	mussles 4:11 FOOD#QUALITY
neutral	RESTAURANT#MISCELLANEOUS	place	16:21	Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.	place 16:21 RESTAURANT#MISCELLANEOUS
negative	FOOD#QUALITY	food	23:27	Not impressed with the food.	food 23:27 FOOD#QUALITY
positive	DRINKS#STYLE_OPTIONS	beverage selections	20:39	Good spreads, great beverage selections and bagels really tasty.	beverage selections 20:39 DRINKS#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	ambience	20:28	However, go for the ambience, and consider the food just a companion for a trip across the world!	ambience 20:28 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	spot	6:10	Great spot, whether looking for a couple of drinks or quiet dinner.	spot 6:10 RESTAURANT#GENERAL
positive	AMBIENCE#GENERAL	restaurant	14:24	I thought the restaurant was nice and clean.	restaurant 14:24 AMBIENCE#GENERAL
negative	SERVICE#GENERAL	staff	41:46	The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.	staff 41:46 SERVICE#GENERAL
positive	FOOD#QUALITY	Indian food	24:35	I cannot imagine better Indian food in all of the city.	Indian food 24:35 FOOD#QUALITY
negative	FOOD#QUALITY	rice	4:8	The rice was poor quality and was cooked so badly it was hard.	rice 4:8 FOOD#QUALITY
negative	FOOD#QUALITY	bagels	6:12	Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.	bagels 6:12 FOOD#QUALITY
positive	FOOD#QUALITY	sushi	147:152	We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.	sushi 147:152 FOOD#QUALITY
negative	SERVICE#GENERAL	service	47:54	You would think they would make up for it with service, sadly, no.	service 47:54 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	Traditional French decour	0:25	Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.	Traditional French decour 0:25 AMBIENCE#GENERAL
negative	FOOD#QUALITY	food	4:8	The food was not fresh, the sauces were bland and very oily.	food 4:8 FOOD#QUALITY
positive	FOOD#QUALITY	gyro meat	125:134	What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.	gyro meat 125:134 FOOD#QUALITY
positive	FOOD#STYLE_OPTIONS	buffet	4:10	The buffet had a nice selection.	buffet 4:10 FOOD#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	ambiance	57:65	The view is breathtaking the service is top notch... the ambiance is wonderfull.	ambiance 57:65 AMBIENCE#GENERAL
negative	SERVICE#GENERAL	service	64:71	Considering you will spend at least $60 a head, I expect better service. 	service 64:71 SERVICE#GENERAL
negative	FOOD#QUALITY	chicken casserole	15:32	We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.	chicken casserole 15:32 FOOD#QUALITY
positive	AMBIENCE#GENERAL	Thalia	0:6	Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.	Thalia 0:6 AMBIENCE#GENERAL
positive	SERVICE#GENERAL	service	57:64	Excellent atmosphere, delicious dishes good and friendly service.	service 57:64 SERVICE#GENERAL
positive	RESTAURANT#GENERAL	Ginger House	14:26	Have eaten at Ginger House several times, and it's always good.	Ginger House 14:26 RESTAURANT#GENERAL
negative	FOOD#STYLE_OPTIONS	menu	8:12	limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. 	menu 8:12 FOOD#STYLE_OPTIONS
positive	LOCATION#GENERAL	views of the city	57:74	The waiter was attentive, the food was delicious and the views of the city were great.	views of the city 57:74 LOCATION#GENERAL
negative	SERVICE#GENERAL	Service	0:7	Service ok but unfriendly,filthy bathroom.	Service 0:7 SERVICE#GENERAL
negative	FOOD#QUALITY	soy sauce	56:65	the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. 	soy sauce 56:65 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Patsy's Pizza	0:13	Patsy's Pizza = true love	Patsy's Pizza 0:13 RESTAURANT#GENERAL
positive	FOOD#QUALITY	halibut special	32:47	The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.	halibut special 32:47 FOOD#QUALITY
positive	FOOD#QUALITY	food	16:20	not only is the food	food 16:20 FOOD#QUALITY
positive	FOOD#QUALITY	braised rabbit	87:101	The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.	braised rabbit 87:101 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Pastis	29:35	And evaluated on those terms Pastis is simply wonderful.	Pastis 29:35 RESTAURANT#GENERAL
positive	FOOD#QUALITY	food	4:8	The food is good, especially their more basic dishes, and the drinks are delicious.	food 4:8 FOOD#QUALITY
positive	FOOD#QUALITY	salad	16:21	By far the best salad I have had in a fast food restaurant.	salad 16:21 FOOD#QUALITY
positive	AMBIENCE#GENERAL	patio	89:94	Regardless, we'll be back and can't wait to visit in the summer to take advantage of the patio.	patio 89:94 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	outdoor seating	45:60	Warm and friendly in the winter and terrific outdoor seating in the warmer months.	outdoor seating 45:60 AMBIENCE#GENERAL
positive	FOOD#QUALITY	crust	4:9	the crust was imazingly cooked well and pizza was fully loaded:):):)	crust 4:9 FOOD#QUALITY
negative	FOOD#STYLE_OPTIONS	rice	70:74	limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. 	rice 70:74 FOOD#STYLE_OPTIONS
positive	SERVICE#GENERAL	service	6:13	Great service, great food.	service 6:13 SERVICE#GENERAL
positive	FOOD#QUALITY	chicken	78:85	Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.	chicken 78:85 FOOD#QUALITY
